areaType,areaName,areaCode,date,newVaccinesGivenByPublishDate,cumVaccinesGivenByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,08/05/2021,607864,53041048,169027,35371669,438837,17669379
overview,United Kingdom,K02000001,07/05/2021,598823,52433184,133001,35202642,465822,17230542
overview,United Kingdom,K02000001,06/05/2021,608471,51834361,135470,35069641,473001,16764720
overview,United Kingdom,K02000001,05/05/2021,543323,51225890,139097,34934171,404226,16291719
overview,United Kingdom,K02000001,04/05/2021,384656,50682567,127170,34795074,257486,15887493
overview,United Kingdom,K02000001,03/05/2021,200099,50297911,72600,34667904,127499,15630007
overview,United Kingdom,K02000001,02/05/2021,262815,50097812,89924,34595304,172891,15502508
overview,United Kingdom,K02000001,01/05/2021,515479,49834997,143175,34505380,372304,15329617
overview,United Kingdom,K02000001,30/04/2021,567374,49319518,145589,34362205,421785,14957313
overview,United Kingdom,K02000001,29/04/2021,614135,48752144,122568,34216616,491567,14535528
overview,United Kingdom,K02000001,28/04/2021,597025,48138009,134140,34094048,462885,14043961
overview,United Kingdom,K02000001,27/04/2021,495593,47540984,116328,33959908,379265,13581076
overview,United Kingdom,K02000001,26/04/2021,395383,47045391,90695,33843580,304688,13201811
overview,United Kingdom,K02000001,25/04/2021,340496,46650008,79695,33752885,260801,12897123
overview,United Kingdom,K02000001,24/04/2021,696403,46309512,148767,33673190,547636,12636322
overview,United Kingdom,K02000001,23/04/2021,600801,45613109,135786,33524423,465015,12088686
overview,United Kingdom,K02000001,22/04/2021,562056,45012308,130986,33388637,431070,11623671
overview,United Kingdom,K02000001,21/04/2021,534693,44450252,117909,33257651,416784,11192601
overview,United Kingdom,K02000001,20/04/2021,457649,43915559,107622,33139742,350027,10775817
overview,United Kingdom,K02000001,19/04/2021,373423,43457910,99672,33032120,273751,10425790
overview,United Kingdom,K02000001,18/04/2021,304418,43084487,83225,32932448,221193,10152039
overview,United Kingdom,K02000001,17/04/2021,639080,42780069,139445,32849223,499635,9930846
overview,United Kingdom,K02000001,16/04/2021,635221,42140989,135557,32709778,499664,9431211
overview,United Kingdom,K02000001,15/04/2021,547465,41505768,129782,32574221,417683,8931547
overview,United Kingdom,K02000001,14/04/2021,461618,40958303,117835,32444439,343783,8513864
overview,United Kingdom,K02000001,13/04/2021,388808,40496685,76123,32326604,312685,8170081
overview,United Kingdom,K02000001,12/04/2021,261096,40107877,59905,32250481,201191,7857396
overview,United Kingdom,K02000001,11/04/2021,258888,39846781,69223,32190576,189665,7656205
overview,United Kingdom,K02000001,10/04/2021,586339,39587893,111109,32121353,475230,7466540
overview,United Kingdom,K02000001,09/04/2021,557014,39001554,106878,32010244,450136,6991310
overview,United Kingdom,K02000001,08/04/2021,545511,38444540,96242,31903366,449269,6541174
overview,United Kingdom,K02000001,07/04/2021,507926,37899029,99530,31807124,408396,6091905
overview,United Kingdom,K02000001,06/04/2021,272020,37391103,85227,31707594,186793,5683509
overview,United Kingdom,K02000001,05/04/2021,105334,37119083,40744,31622367,64590,5496716
overview,United Kingdom,K02000001,04/04/2021,95763,37013749,48055,31581623,47708,5432126
overview,United Kingdom,K02000001,03/04/2021,286799,36917986,107886,31533568,178913,5384418
overview,United Kingdom,K02000001,02/04/2021,354051,36631187,107420,31425682,246631,5205505
overview,United Kingdom,K02000001,01/04/2021,616234,36277136,170818,31318262,445416,4958874
overview,United Kingdom,K02000001,31/03/2021,627008,35660902,239434,31147444,387574,4513458
overview,United Kingdom,K02000001,30/03/2021,503599,35033894,225917,30908010,277682,4125884
overview,United Kingdom,K02000001,29/03/2021,405039,34530295,236809,30682093,168230,3848202
overview,United Kingdom,K02000001,28/03/2021,441142,34125256,293548,30445284,147594,3679972
overview,United Kingdom,K02000001,27/03/2021,663162,33684114,424301,30151736,238861,3532378
overview,United Kingdom,K02000001,26/03/2021,694959,33020952,411305,29727435,283654,3293517
overview,United Kingdom,K02000001,25/03/2021,559324,32325993,324942,29316130,234382,3009863
overview,United Kingdom,K02000001,24/03/2021,580307,31766669,337665,28991188,242642,2775481
overview,United Kingdom,K02000001,23/03/2021,494805,31186362,325650,28653523,169155,2532839
overview,United Kingdom,K02000001,22/03/2021,412197,30691557,329897,28327873,82300,2363684
overview,United Kingdom,K02000001,21/03/2021,419618,30279360,367006,27997976,52612,2281384
overview,United Kingdom,K02000001,20/03/2021,844285,29859742,752308,27630970,91977,2228772
overview,United Kingdom,K02000001,19/03/2021,740655,29015457,614930,26878662,125725,2136795
overview,United Kingdom,K02000001,18/03/2021,660276,28274802,528260,26263732,132016,2011070
overview,United Kingdom,K02000001,17/03/2021,581855,27614526,462246,25735472,119609,1879054
overview,United Kingdom,K02000001,16/03/2021,529119,27032671,433320,25273226,95799,1759445
overview,United Kingdom,K02000001,15/03/2021,440051,26503552,386685,24839906,53366,1663646
overview,United Kingdom,K02000001,14/03/2021,282381,26063501,257010,24453221,25371,1610280
overview,United Kingdom,K02000001,13/03/2021,564263,25781120,512108,24196211,52155,1584909
overview,United Kingdom,K02000001,12/03/2021,457254,25216857,369578,23684103,87676,1532754
overview,United Kingdom,K02000001,11/03/2021,354372,24759603,260809,23314525,93563,1445078
overview,United Kingdom,K02000001,10/03/2021,341049,24405231,243887,23053716,97162,1351515
overview,United Kingdom,K02000001,09/03/2021,290223,24064182,217301,22809829,72922,1254353
overview,United Kingdom,K02000001,08/03/2021,254061,23773959,215273,22592528,38788,1181431
overview,United Kingdom,K02000001,07/03/2021,184384,23519898,164143,22377255,20241,1142643
overview,United Kingdom,K02000001,06/03/2021,448396,23335514,416834,22213112,31562,1122402
overview,United Kingdom,K02000001,05/03/2021,494235,22887118,437463,21796278,56772,1090840
overview,United Kingdom,K02000001,04/03/2021,446450,22392883,376244,21358815,70206,1034068
overview,United Kingdom,K02000001,03/03/2021,347406,21946433,278956,20982571,68450,963862
overview,United Kingdom,K02000001,02/03/2021,276310,21599027,224996,20703615,51314,895412
overview,United Kingdom,K02000001,01/03/2021,231450,21322717,203168,20478619,28282,844098
overview,United Kingdom,K02000001,28/02/2021,205584,21091267,185900,20275451,19684,815816
overview,United Kingdom,K02000001,27/02/2021,434825,20885683,407503,20089551,27322,796132
overview,United Kingdom,K02000001,26/02/2021,537266,20450858,504493,19682048,32773,768810
overview,United Kingdom,K02000001,25/02/2021,521039,19913592,485720,19177555,35319,736037
overview,United Kingdom,K02000001,24/02/2021,480575,19392553,448962,18691835,31613,700718
overview,United Kingdom,K02000001,23/02/2021,353009,18911978,326692,18242873,26317,669105
overview,United Kingdom,K02000001,22/02/2021,210804,18558969,192341,17916181,18463,642788
overview,United Kingdom,K02000001,21/02/2021,150896,18348165,141719,17723840,9177,624325
overview,United Kingdom,K02000001,20/02/2021,344942,18197269,334679,17582121,10263,615148
overview,United Kingdom,K02000001,19/02/2021,387200,17852327,371906,17247442,15294,604885
overview,United Kingdom,K02000001,18/02/2021,468321,17465127,452454,16875536,15867,589591
overview,United Kingdom,K02000001,17/02/2021,497257,16996806,482110,16423082,15147,573724
overview,United Kingdom,K02000001,16/02/2021,377277,16499549,364865,15940972,12412,558577
overview,United Kingdom,K02000001,15/02/2021,282491,16122272,275956,15576107,6535,546165
overview,United Kingdom,K02000001,14/02/2021,239877,15839781,237962,15300151,1915,539630
overview,United Kingdom,K02000001,13/02/2021,508208,15599904,505362,15062189,2846,537715
overview,United Kingdom,K02000001,12/02/2021,549378,15091696,544603,14556827,4775,534869
overview,United Kingdom,K02000001,11/02/2021,508763,14542318,503116,14012224,5647,530094
overview,United Kingdom,K02000001,10/02/2021,455704,14033555,450810,13509108,4894,524447
overview,United Kingdom,K02000001,09/02/2021,414973,13577851,411812,13058298,3161,519553
overview,United Kingdom,K02000001,08/02/2021,356291,13162878,352480,12646486,3811,516392
overview,United Kingdom,K02000001,07/02/2021,279850,12806587,278988,12294006,862,512581
overview,United Kingdom,K02000001,06/02/2021,551470,12526737,549808,12015018,1662,511719
overview,United Kingdom,K02000001,05/02/2021,498227,11975267,494163,11465210,4064,510057
overview,United Kingdom,K02000001,04/02/2021,484596,11477040,480560,10971047,4036,505993
overview,United Kingdom,K02000001,03/02/2021,472011,10992444,469016,10490487,2995,501957
overview,United Kingdom,K02000001,02/02/2021,376922,10520433,374756,10021471,2166,498962
overview,United Kingdom,K02000001,01/02/2021,352935,10143511,350348,9646715,2587,496796
overview,United Kingdom,K02000001,31/01/2021,322194,9790576,319038,9296367,3156,494209
overview,United Kingdom,K02000001,30/01/2021,609010,9468382,598389,8977329,10621,491053
overview,United Kingdom,K02000001,29/01/2021,489934,8859372,487756,8378940,2178,480432
overview,United Kingdom,K02000001,28/01/2021,416188,8369438,414419,7891184,1769,478254
overview,United Kingdom,K02000001,27/01/2021,314707,7953250,312378,7476765,2329,476485
overview,United Kingdom,K02000001,26/01/2021,312770,7638543,311060,7164387,1710,474156
overview,United Kingdom,K02000001,25/01/2021,281725,7325773,279757,6853327,1968,472446
overview,United Kingdom,K02000001,24/01/2021,221067,7044048,220249,6573570,818,470478
overview,United Kingdom,K02000001,23/01/2021,493013,6822981,491970,6353321,1043,469660
overview,United Kingdom,K02000001,22/01/2021,480069,6329968,478248,5861351,1821,468617
overview,United Kingdom,K02000001,21/01/2021,412615,5849899,409855,5383103,2760,466796
overview,United Kingdom,K02000001,20/01/2021,366919,5437284,363508,4973248,3411,464036
overview,United Kingdom,K02000001,19/01/2021,346922,5070365,343163,4609740,3759,460625
overview,United Kingdom,K02000001,18/01/2021,208641,4723443,204076,4266577,4565,456866
overview,United Kingdom,K02000001,17/01/2021,192346,4514802,190107,4062501,2239,452301
overview,United Kingdom,K02000001,16/01/2021,298751,4322456,296131,3872394,2620,450062
overview,United Kingdom,K02000001,15/01/2021,345525,4023705,341317,3576263,4208,447442
overview,United Kingdom,K02000001,14/01/2021,321951,3678180,316694,3234946,5257,443234
overview,United Kingdom,K02000001,13/01/2021,288688,3356229,278943,2918252,9745,437977
overview,United Kingdom,K02000001,12/01/2021,223726,3067541,207661,2639309,16065,428232
overview,United Kingdom,K02000001,11/01/2021,165844,2843815,145076,2431648,20768,412167
overview,United Kingdom,K02000001,10/01/2021,,2677971,,2286572,,391399
,,,,,,,,,
